TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
1,2024-06-12,Samsung Galaxy S23,Electronics,East,Online,1,79999,79999,Credit Card,CUST1151
2,2024-04-18,Samsung Galaxy S23,Electronics,East,Online,1,79999,79999,Cash,CUST1183
3,2024-06-15,Gillette Razor Set,Beauty,East,Offline,1,449,449,Cash,CUST1178
4,2024-04-18,Greek Yogurt Pack,Groceries,East,Offline,2,199,398,Credit Card,CUST1097
5,2024-01-25,Greek Yogurt Pack,Groceries,South,Offline,9,199,1791,Credit Card,CUST1096
6,2024-01-21,Dumbbell Set 10kg,Sports,North,Offline,1,3499,3499,Cash,CUST1197
7,2024-03-15,JBL Bluetooth Speaker,Electronics,South,Online,4,6999,27996,UPI,CUST1041
8,2024-04-04,Whole Wheat Bread,Groceries,North,Offline,2,89,178,Cash,CUST1136
9,2024-03-03,Adidas Hoodie,Clothing,East,Offline,9,3499,31491,Cash,CUST1175
10,2024-03-24,Apple AirPods Pro,Electronics,South,Online,1,24999,24999,Cash,CUST1145
11,2024-03-21,Puma Track Pants,Clothing,West,Offline,8,2499,19992,Cash,CUST1067
12,2024-02-05,Puma Track Pants,Clothing,South,Online,10,2499,24990,Net Banking,CUST1092
13,2024-02-26,H&M Formal Shirt,Clothing,East,Online,2,1999,3998,Cash,CUST1160
14,2024-02-10,Dove Body Lotion,Beauty,West,Offline,8,349,2792,UPI,CUST1141
15,2024-01-03,L'Oreal Shampoo,Beauty,South,Online,5,499,2495,Net Banking,CUST1040
16,2024-04-26,Logitech MX Master 3,Electronics,South,Offline,5,8999,44995,Credit Card,CUST1160
17,2024-03-17,Gillette Razor Set,Beauty,East,Offline,9,449,4041,Credit Card,CUST1153
18,2024-03-23,IKEA Study Desk,Furniture,South,Offline,3,12999,38997,Cash,CUST1014
19,2024-03-02,Wilson Tennis Racket,Sports,South,Offline,9,5499,49491,Cash,CUST1032
20,2024-06-17,Coffee Table Glass,Furniture,East,Offline,4,6999,27996,Cash,CUST1138
21,2024-06-25,Puma Track Pants,Clothing,West,Offline,6,2499,14994,Net Banking,CUST1132
22,2024-04-25,Apple AirPods Pro,Electronics,East,Online,5,24999,124995,Cash,CUST1150
23,2024-02-26,Samsung Galaxy S23,Electronics,East,Offline,3,79999,239997,Credit Card,CUST1131
24,2024-03-01,Olive Oil Premium,Groceries,East,Online,10,599,5990,Net Banking,CUST1062
25,2024-05-01,Wooden Bookshelf,Furniture,East,Online,4,8999,35996,Net Banking,CUST1119
26,2024-01-14,L'Oreal Shampoo,Beauty,West,Online,2,499,998,Cash,CUST1049
27,2024-02-18,Cycling Helmet,Sports,West,Online,4,2999,11996,Credit Card,CUST1113
28,2024-05-20,Samsung Galaxy S23,Electronics,South,Offline,2,79999,159998,Cash,CUST1104
29,2024-05-04,Wooden Bookshelf,Furniture,South,Online,1,8999,8999,Net Banking,CUST1067
30,2024-04-26,Fresh Orange Juice,Groceries,East,Online,1,149,149,Credit Card,CUST1191
31,2024-03-21,Samsung Galaxy S23,Electronics,West,Offline,2,79999,159998,Credit Card,CUST1130
32,2024-01-21,Nike Running Shoes,Clothing,North,Online,2,8499,16998,Cash,CUST1148
33,2024-06-01,HP Printer 3755,Electronics,West,Offline,5,12999,64995,UPI,CUST1066
34,2024-02-22,Neutrogena Sunscreen,Beauty,East,Online,5,599,2995,Net Banking,CUST1080
35,2024-01-19,Dell Laptop 15,Electronics,East,Online,3,65000,195000,Cash,CUST1089
36,2024-01-18,Zara Floral Dress,Clothing,East,Offline,5,2999,14995,Credit Card,CUST1170
37,2024-05-21,Olive Oil Premium,Groceries,South,Online,2,599,1198,Credit Card,CUST1190
38,2024-05-21,Zara Floral Dress,Clothing,North,Offline,4,2999,11996,UPI,CUST1129
39,2024-05-05,Organic Almonds 500g,Groceries,North,Offline,1,699,699,Credit Card,CUST1085
